FluorCam10 Numeric Export File
-----------------------------------
 	A01	B01	D01	E01	A02	B02	C02	D02	E02	A03	B03	D03	E03	A04	B04	C04	D04	E04	A05	B05	C05	D05	E05	A06	B06	C06	D06	E06	A07	B07	C07	D07	E07	A08	B08	D08	A09	B09	C09	D09	E09	A10	B10	C10	D10	E10	A11	B11	C11	D11	E11	A12	B12	C12	D12	E12
Size [pixels]	127	44	104	114	114	87	63	115	55	84	93	120	97	60	136	98	127	122	91	131	147	123	57	106	133	32	81	55	72	83	132	100	104	89	128	92	108	99	130	69	91	118	122	116	85	112	107	105	121	85	131	107	124	88	100	134
Size [mm2]	13.24	4.59	10.84	11.89	11.89	9.07	6.57	11.99	5.74	8.76	9.7	12.51	10.11	6.26	14.18	10.22	13.24	12.72	9.49	13.66	15.33	12.83	5.94	11.05	13.87	3.34	8.45	5.74	7.51	8.65	13.76	10.43	10.84	9.28	13.35	9.59	11.26	10.32	13.56	7.19	9.49	12.3	12.72	12.1	8.86	11.68	11.16	10.95	12.62	8.86	13.66	11.16	12.93	9.18	10.43	13.97
Fo	133.12	86.88	147.46	174.04	148.53	163.47	100.32	201.25	125.22	115.49	111.18	217.93	131.3	116.11	182.07	148.4	222.41	218.82	182.44	207.36	205.18	231.63	156.17	192.67	206.54	125.05	162.43	152.09	115.64	110.89	200.16	135.23	215.21	122.52	186.8	155.06	143.05	133.45	208.72	189.75	172.73	154.79	188.59	190.18	148.26	204.63	180.19	152.93	186.31	114.75	204.84	148.95	180.52	103.82	135.41	212.36
Fo_gauss	133.12	86.88	147.46	174.04	148.53	163.47	100.32	201.25	125.22	115.49	111.18	217.93	131.3	116.11	182.07	148.4	222.41	218.82	182.44	207.36	205.18	231.63	156.17	192.67	206.54	125.05	162.43	152.09	115.64	110.89	200.16	135.23	215.21	122.52	186.8	155.06	143.05	133.45	208.72	189.75	172.73	154.79	188.59	190.18	148.26	204.63	180.19	152.93	186.31	114.75	204.84	148.95	180.52	103.82	135.41	212.36
Fo_median	98.6	63.1	104.93	122.43	103.13	105.82	62.97	143.43	81.95	73.83	83.8	152.91	88.18	72.38	130.44	104.48	159.76	158.01	126.62	151.25	155.96	161.62	86.95	136.92	154.24	40.76	97.81	93.7	79.82	81.99	138.72	98.03	147.8	86.4	136.75	107.02	103.26	97.43	150.29	106.76	124.1	113.71	140.08	137.99	99.16	139.54	130.58	111.78	133.7	82.23	149.95	109.69	134.8	73.49	102.65	156.66
Fm	731.29	444.47	776.61	853.75	841.34	818.74	573.14	1076.46	711.01	578.3	558.95	1168.03	670.59	591.32	889.71	830.81	1176.86	1066.07	904.02	1027.19	1081.32	1239.59	758.08	1018.19	1056.3	651.9	918.39	722.06	584.94	590.24	1128.8	660.28	1071	635.71	934.25	786.17	712.74	686.57	1160.16	857.66	923.18	774.88	1027.41	1036.98	750.84	1001.59	902.88	821.07	1001	569.21	1053.25	771.28	984.28	587.6	692.76	1064.32
Fv	598.17	357.59	629.15	679.71	692.82	655.27	472.82	875.21	585.8	462.81	447.77	950.11	539.3	475.21	707.64	682.42	954.45	847.25	721.59	819.83	876.14	1007.96	601.91	825.52	849.76	526.85	755.96	569.97	469.3	479.35	928.63	525.05	855.8	513.19	747.45	631.11	569.69	553.12	951.44	667.91	750.45	620.09	838.81	846.81	602.58	796.97	722.69	668.14	814.69	454.46	848.41	622.33	803.76	483.79	557.35	851.96
Fm_L1	717.34	427.85	789.16	850.8	814.7	673.5	567.67	1061.51	708.25	565.64	567.7	1175.76	662.3	573.68	890.28	817.59	1162.77	1089.11	895.14	1025.08	1079.4	1214.57	747.49	995.99	1040.73	644.18	898.68	709.58	577.18	580.62	1112.13	649.97	1058.88	630.58	924.16	774.68	705.92	685.73	1142.42	840.47	912.86	730.45	1021.08	1022.06	744.94	1014.59	893.08	808.4	992.8	566.56	1043.77	761.81	972.19	577.62	674.17	1060.31
Fm_L2	714.64	428.3	786.64	845.35	804.32	322.82	567.56	1060.8	701.86	561.04	563.83	1172.54	659.71	567.64	900.19	819.8	1153.98	1085.74	888.13	1019.43	1073.22	1196.71	751.22	988.7	1028.55	645.14	884.19	520.45	576.37	579.5	1099.34	645.16	1052.13	620.36	923.15	767.42	700.62	680.65	1139.7	832.27	895.66	718.03	1016.72	1022.75	737.3	1012.17	891.88	807.06	984.89	565.15	1048.31	758.05	972.94	582.04	662.85	1054.68
Fm_L3	713.42	429.9	788.34	844.78	804.21	324.39	570.28	1050.41	703.91	558.26	562.04	1164.99	656.1	572.64	903.6	818.48	1146.8	1090.16	884.9	1024.78	1073.32	1192.1	755.43	982.85	1026	648.17	879.13	527.4	572.61	572.94	1104.63	642.32	1046.45	618.64	914.4	762.58	700.61	668.06	1140.78	825.09	906.39	708.04	1015.13	1017.8	732.71	1009.52	890.59	811.04	981.66	561.12	1040.69	753.1	963.37	582.99	664.89	1058.96
Fm_L4	711.96	426.78	786.1	843.43	802.41	322.66	567.39	1054.07	706.47	557.68	562.32	1159.51	652.67	570.87	906.88	815.62	1144.39	1083.75	883.01	1016.36	1063.86	1184.46	744.78	991.34	1025.67	639.65	879.96	527.29	565.03	571.54	1099.19	647.34	1049.53	618.74	918.88	755.42	695.38	669.79	1133.03	818.07	906.04	703.17	1011.03	1013.25	736.18	1007.96	884.33	809.63	981.39	555.49	1035.44	750.84	965.81	577.33	659.68	1059.82
Ft_L1	133.48	87.14	150.92	177.32	148	143.26	105.43	198.34	132.91	117.57	120.9	218.66	130.19	118.63	181.53	152.12	219.94	219.76	186.82	210.47	211.78	229.77	159.84	196.86	203.66	127.56	167.53	163.85	118.47	117.31	201.08	135.36	216.06	123.09	191.19	157.86	146.13	131.11	202.25	182.12	168.65	157.19	186.6	188.65	152.69	211	186.5	158.4	186.65	117.87	210.65	150.24	184.45	107.19	134.8	215.99
Ft_L2	128.68	86	155.07	177.54	151.1	74.6	103.51	202.04	128.67	116.14	116.44	217.48	129.04	118.47	185.67	151.69	221.91	222.6	187.47	206.07	205.92	230.59	157.04	195.25	203.24	137.31	161.43	118.07	118.69	117.08	200.54	139.29	218.09	119.62	185.35	151.63	144.2	130.84	211.28	198.28	172.86	144.37	188.25	189.78	150.58	213.12	179.69	149.07	178.98	120.56	205.42	152.89	178.94	105.2	134.81	216.25
Ft_L3	137.85	78.89	153.46	174.53	145.69	78	107.7	201.43	130.69	116.83	114.46	222.11	134.53	115.25	187.4	152.71	222.8	224.7	184.7	206.41	210.76	231.71	159.86	191.08	207.32	131.09	169.32	121.16	114.93	107.4	204.69	137.14	215.92	119.51	188.17	152.65	146.72	136.68	210.61	190.77	174.45	143.82	190.67	183.08	152.15	216.2	179.54	146.42	185.66	123.09	204.76	150.55	181.15	107.94	132.89	208.95
Ft_L4	135.79	84.8	151.68	173.93	145.15	74.09	103.73	208.93	132.87	117.06	114.45	219.01	134.65	121.45	194.19	149.58	224.91	226.08	186.92	210.06	210.88	230.51	162.51	194.88	208.74	126.72	169.86	124.18	119.76	110.3	205.81	137.5	221.88	125.55	192.15	158.57	143.44	137.73	204.13	191.33	173.52	147.26	189.88	193.56	147.69	211.08	185.79	157.89	189.4	117.24	202.79	155.32	188.34	102.7	133.54	217.81
Fo_L1	132.67	86.26	147.85	173.93	147.65	152.14	100.19	200.74	125.13	114.97	111.52	218.12	130.95	115.39	182.12	147.97	221.9	219.77	182.08	207.24	204.87	230.51	155.74	191.92	205.9	124.81	161.91	151.5	115.36	110.48	199.62	134.79	214.62	122.33	186.39	154.64	142.79	133.38	208.17	189.03	172.4	152.73	188.36	189.63	148.03	205.25	179.78	152.47	186	114.63	204.48	148.56	179.96	103.48	134.62	212.25
Fo_L2	132.52	86.25	147.74	173.65	147.27	96.09	100.17	200.67	124.91	114.77	111.4	218.02	130.89	115.13	182.48	148.06	221.53	219.64	181.78	207	204.76	229.85	155.87	191.75	205.38	124.84	161.41	133.01	115.34	110.44	199.18	134.6	214.37	121.95	186.39	154.33	142.53	133.16	208.06	188.46	171.79	152.12	188.17	189.67	147.74	205.21	179.79	152.43	185.7	114.62	204.62	148.38	180.09	103.61	134.1	211.83
Fo_L3	132.51	86.36	147.78	173.6	147.25	97	100.23	200.27	124.99	114.65	111.29	217.71	130.75	115.29	182.56	148	221.26	219.71	181.6	207.25	204.66	229.54	156.09	191.45	205.28	125.03	161.28	134.16	115.18	110.22	199.42	134.45	214.05	121.87	185.9	154.16	142.57	132.66	208.08	188.14	172.1	151.57	188.16	189.49	147.57	204.97	179.71	152.62	185.6	114.44	204.29	148.23	179.62	103.69	134.17	212.04
Fo_L4	132.44	86.19	147.72	173.66	147.23	96.27	100.13	200.45	125.07	114.64	111.3	217.58	130.55	115.27	182.73	147.96	221.14	219.53	181.54	206.86	204.27	229.19	155.61	191.74	205.3	124.76	161.28	134.66	114.85	110.18	199.21	134.65	214.19	121.88	186.18	153.83	142.31	132.73	207.88	187.81	172.18	151.41	187.99	189.28	147.68	204.83	179.45	152.49	185.63	114.16	204.18	148.19	179.7	103.47	133.99	212.04
Fv_L1	584.67	341.6	641.31	676.88	667.05	521.36	467.49	860.76	583.13	450.68	456.17	957.64	531.34	458.29	708.16	669.61	940.87	869.34	713.06	817.84	874.53	984.06	591.75	804.07	834.84	519.37	736.77	558.08	461.82	470.15	912.51	515.18	844.25	508.26	737.77	620.04	563.13	552.34	934.25	651.44	740.45	577.72	832.72	832.43	596.91	809.34	713.31	655.92	806.8	451.93	839.28	613.25	792.24	474.15	539.55	848.06
Fv_L2	582.11	342.06	638.89	671.69	657.06	226.74	467.39	860.13	576.94	446.27	452.43	954.52	528.82	452.51	717.71	671.74	932.45	866.1	706.36	812.43	868.46	966.87	595.36	796.95	823.17	520.3	722.78	387.44	461.04	469.06	900.16	510.56	837.76	498.41	736.76	613.09	558.09	547.49	931.64	643.81	723.88	565.91	828.54	833.08	589.56	806.97	712.09	654.63	799.2	450.53	843.68	609.67	792.84	478.43	528.75	842.85
Fv_L3	580.91	343.55	640.56	671.18	656.96	227.4	470.05	850.14	578.92	443.61	450.75	947.29	525.35	457.35	721.04	670.48	925.54	870.45	703.29	817.53	868.66	962.56	599.33	791.4	820.72	523.13	717.85	393.24	457.42	462.72	905.21	507.87	832.4	496.77	728.5	608.42	558.04	535.4	932.7	636.94	734.29	556.48	826.97	828.31	585.14	804.55	710.88	658.42	796.07	446.69	836.4	604.87	783.75	479.3	530.72	846.92
Fv_L4	579.52	340.59	638.38	669.77	655.17	226.39	467.26	853.62	581.4	443.04	451.02	941.93	522.12	455.6	724.15	667.67	923.25	864.22	701.48	809.5	859.59	955.26	589.17	799.6	820.37	514.89	718.68	392.63	450.18	461.36	899.98	512.69	835.34	496.86	732.7	601.59	553.07	537.06	925.15	630.25	733.86	551.76	823.04	823.97	588.5	803.13	704.88	657.14	795.76	441.33	831.26	602.66	786.11	473.86	525.69	847.78
Fq_L1	583.86	340.72	638.24	673.48	666.7	530.23	462.25	863.17	575.35	448.07	446.79	957.1	532.11	455.05	708.75	665.47	942.82	869.35	708.32	814.62	867.62	984.8	587.65	799.13	837.07	516.62	731.15	545.72	458.71	463.31	911.05	514.61	842.82	507.49	732.97	616.82	559.79	554.62	940.16	658.36	744.21	573.25	834.48	833.41	592.25	803.59	706.58	650	806.15	448.69	833.12	611.57	787.74	470.43	539.37	844.31
Fq_L2	585.96	342.3	631.57	667.81	653.23	248.22	464.05	858.75	573.18	444.9	447.39	955.06	530.66	449.17	714.52	668.11	932.07	863.14	700.66	813.36	867.3	966.13	594.19	793.45	825.31	507.83	722.76	402.37	457.68	462.42	898.8	505.87	834.04	500.74	737.8	615.78	556.42	549.81	928.42	633.99	722.81	573.66	828.46	832.97	586.72	799.05	712.19	658	805.91	444.58	842.89	605.16	793.99	476.84	528.04	838.43
Fq_L3	575.57	351.02	634.88	670.25	658.52	246.39	462.59	848.97	573.22	441.42	447.58	942.88	521.57	457.39	716.2	665.77	924	865.46	700.19	818.37	862.56	960.4	595.57	791.77	818.68	517.07	709.81	406.23	457.68	465.54	899.94	505.18	830.53	499.14	726.23	609.93	553.89	531.38	930.17	634.32	731.94	564.22	824.45	834.72	580.56	793.33	711.05	664.62	796	438.03	835.93	602.55	782.22	475.04	532	850.01
